Genus species,can_fly,Class,Order,phylo_dist,Family,phylo_name,Common Name,Typical_Diet,Mass g (mean/median from study),mass-citation-if-not-from-retention-study,Food in Feeding Trial,Feeding.Trial.Food.Cat,N_individuals,N_trials,retention metric description,Minimum (min),IQR_1,Median (min),Mean (min),IQR_3,Maximum (min),SD,SE,mrt (min),mrt_sd,mrt_se,Retention.Citation,Notes,includes keywords,original submision
Cacajao calvus,N,Mammalia,Primates,,Pitheciidae,Cacajao_calvus, bald uakari,omnivore,3000,,mixed fruit/veggies/bread/etc + plastic particle marker,protein,2,1,TT,,,,300,,,,,,,,Milton (1984),,N,N
Callithrix jacchus,N,Mammalia,Primates,174.3696,Cebidae,Callithrix_jacchus,common marmoset,omnivore,348,,bananas mixed with Co-EDTA,fruit/nectar/pollen,3,1,transit time,,,,216,,,126,,888,174,,Caton et al. 1996,transit time (tt) is time of first appearance of the marker in feces; MRT is the average time taken for each of the markets to be excreted,yes,No
Callithrix jacchus,N,Mammalia,Primates,174.3696,Cebidae,Callithrix_jacchus,common marmoset,omnivore,348,,bananas mixed with cell wall constituents,fruit/nectar/pollen,3,1,transit time,,,,216,,,126,,744,144,,Caton et al. 1996,transit time (tt) is time of first appearance of the marker in feces; MRT is the average time taken for each of the markets to be excreted,yes,No
Callithrix jacchus,N,Mammalia,Primates,,Callitrichidae,Callithrix_jacchus,common marmoset,insectivore,383,,agar diet w/Co marker,protein,13,2,retention time,,,,,,,,,1050,99,,"Power ML, Myers EW (2009) Digestion in the common marmoset (Callithrix jacchus), a gummivore-frugivore. American Journal of Primatology 71:957-963",,"gut, time",no
Callithrix jacchus,N,Mammalia,Primates,,Callitrichidae,Callithrix_jacchus,common marmoset,insectivore,383,,agar diet w/Cr marker,protein,13,2,retention time,,,,,,,,,1077,9,,"Power ML, Myers EW (2009) Digestion in the common marmoset (Callithrix jacchus), a gummivore-frugivore. American Journal of Primatology 71:957-964",,"gut, time",no
Callithrix jacchus,N,Mammalia,Primates,,Callitrichidae,Callithrix_jacchus,common marmoset,insectivore,246,Common marmoset - Wikipedia,"basic diet (canned marmoset diet, banana, gelatin)",fruit/nectar/pollen,8,2,transit time,,,,230,,,,,,,,"Power ML, Oftedal OT (1996) Differences among captive callitrichids in the digestive responses to dietary gum. American Journal of Primatology 40:131-146",,"transit, time",no
Callithrix jacchus,N,Mammalia,Primates,,Callitrichidae,Callithrix_jacchus,common marmoset,insectivore,246,Common marmoset - Wikipedia,basic diet w/gum arabic,fruit/nectar/pollen,8,2,transit time,,,,200,,,,,,,,"Power ML, Oftedal OT (1996) Differences among captive callitrichids in the digestive responses to dietary gum. American Journal of Primatology 40:131-147",,"transit, time",no
Camelus bactrianus,N,Mammalia,Artiodactyla,,Camelidae,Camelus_bactrianus,Bactrian camel,folivore,687000,,"grass, hay + Co-EDTA liquid marker",fiber/foliage,4,1,transit time; MRT,1416,,,,,,,,3006,,,Cahill and McBride (1995),,N,N
Camelus bactrianus,N,Mammalia,Artiodactyla,,Camelidae,Camelus_bactrianus,Bactrian camel,folivore,687000,,"grass, hay + Cr particle marker",fiber/foliage,4,1,transit time; MRT,2058,,,,,,,,5112,,,Cahill and McBride (1995),,N,N
Camelus bactrianus,N,Mammalia,Artiodactyla,,Camelidae,Camelus_bactrianus,Bactrian camel,folivore,658000,,lucerene hay + Co-EDTA liquid marker,fiber/foliage,5,1,mean retention time,,,,,,,,,2040,180,,Dittmann et al. (2015a),,N,N
Camelus bactrianus,N,Mammalia,Artiodactyla,,Camelidae,Camelus_bactrianus,Bactrian camel,folivore,658000,,lucerene hay + 2 mm Cr particle marker,fiber/foliage,5,1,mean retention time,,,,,,,,,2820,360,,Dittmann et al. (2015a),,N,N
Camelus bactrianus,N,Mammalia,Artiodactyla,,Camelidae,Camelus_bactrianus,Bactrian camel,folivore,658000,,lucerene hay + 10 mm Ce particle marker,fiber/foliage,5,1,mean retention time,,,,,,,,,3960,300,,Dittmann et al. (2015a),,N,N
Camelus bactrianus,N,Mammalia,Artiodactyla,,Camelidae,Camelus_bactrianus,Bactrian camel,folivore,658000,,lucerene hay + 20 mm La particle marker,fiber/foliage,5,1,mean retention time,,,,,,,,,4020,300,,Dittmann et al. (2015a),,N,N
Camelus dromedarius,N,Mammalia,Artiodactyla,,Camelidae,Camelus_dromedarius,dromedary camel,folivore,225000,,"lucerene, sorghum, humra tree + PEG liquid marker",fiber/foliage,4,7,mean retention time,,,,,,,,,2688,558,,Heller et al. (1986a),,N,N
Camelus dromedarius,N,Mammalia,Artiodactyla,,Camelidae,Camelus_dromedarius,dromedary camel,folivore,225000,,"lucerene, sorghum, humra tree + Ce, Cr particle marker (1-2mm)",fiber/foliage,4,4,mean retention time,,,,,,,,,4578,132,,Heller et al. (1986a),,N,N
Camelus dromedarius,N,Mammalia,Artiodactyla,,Camelidae,Camelus_dromedarius,dromedary camel,folivore,225000,,"lucerene, sorghum, humra tree + Ce, Cr particle marker 2-3 mm)",fiber/foliage,4,7,mean retention time,,,,,,,,,6060,864,,Heller et al. (1986a),,N,N
Canis familiaris,N,Mammalia,Carnivora,188,Canidae,Canis_lupus,domestic dog,carnivore,10000,reported mean,meat-heavy dog food with layered protein,protein,4,4,"TT: transit time, time from feeding to mean marker excretion",,,,1983,,,,,,,,Burrows et al 1962,took mean of fiber-heavy and pure protein diet,,Yes
Canis familiaris,N,Mammalia,Carnivora,188,Canidae,Canis_lupus,domestic dog,carnivore,15500,median of range reported in paper (13-18kg),"eggs, bacon, milk, butter, bread",protein,6,1,Gastrointestinal transit time: from ingestion to first appearance of marker in feces,,,,1809,,,222,,,,,Koziolek et al 2019,"took reported average of control ""fed"" and ""fasted"" diets",,Yes
Canis familiaris,N,Mammalia,Carnivora,188,Canidae,Canis_lupus,domestic dog,carnivore,19300,reported mean of control dogs in study,canned food mixtures,protein,8,4,Whole gut transit time: average time from ingestion to defecation,,,,1554,,,264,,,,,Rolfe et al 2002,used mean reported from controls for all 4 diets,,Yes
Canis familiaris,N,Mammalia,Carnivora,188,Canidae,Canis_lupus,domestic dog,carnivore,11600,reported median,pH pill/marker,protein,7,3,transit time: first excretia of marker,244,,1070,,,1430,439,,,,,Tolbert et al. 2022,reported median for pre-feeding group,,Yes
Canis familiaris,N,Mammalia,Carnivora,188,Canidae,Canis_lupus,domestic dog,carnivore,11600,reported median,pet food with pH pill/marker,protein,7,3,transit time: first excretia of marker,539,,1708,,,2743,513,,,,,Tolbert et al. 2022,reported median for post-feeding group,,Yes
Canis familiaris,N,Mammalia,Carnivora,188,Canidae,Canis_lupus,domestic dog,carnivore,11550,average of reported range (9-14.1),chopped up chick with marker capsules,meat,6,1,aTTT: total transit: time from ingestion to excretion,,,,1830,,,630,,1245,267,,Cuyper at al 2017,calculated mean of fine and coarse mash diet,,Yes
Canis familiaris,N,Mammalia,Carnivora,188,Canidae,Canis_lupus,domestic dog,carnivore,11339.83,https://www.akc.org/dog-breeds/beagle/,canned food high in fiber,fiber/foliage,5,5,Gastrointestinal transit time: from ingestion to first appearance of marker in feces,270,,,433.2,,660,,,,,,Lewis et al 1994,took mean of five diets in table 2,,Yes
Canis familiaris,N,Mammalia,Carnivora,,Canidae,Canis_lupus,dog,omnivore,12200,,dog food + plastic particle marker,protein,6,1,MRT,,,,,,,,,1140,348,,Lefebvre et al. (2001),,Y,N
Canis familiaris,N,Mammalia,Carnivora,,Canidae,Canis_lupus,domestic dog,carnivore,12900,,commercial dog kibble; maintenance diet + titanium dioxide marker,protein,6,1,transit time,,,,172.8,,,,,,,,Childs-Sanford and Angel (2006),,N,N
Canis familiaris,N,Mammalia,Carnivora,,Canidae,Canis_lupus,domestic dog,carnivore,12900,,commercial dog kibble; experimental diet with more plant based protein + titanium dioxide marker,protein,6,1,transit time,,,,234,,,,,,,,Childs-Sanford and Angel (2006),,N,N
Canis familiaris,N,Mammalia,Carnivora,,Canidae,Canis_lupus,domestic dog,carnivore,6300,,dog food + colored plastic bead markers,protein,1,1,transit time,,,,1440,,,,,,,,Hernot et al. (2005),,Y,N
Canis familiaris,N,Mammalia,Carnivora,,Canidae,Canis_lupus,domestic dog,carnivore,7600,,dog food + colored plastic bead markers,protein,2,1,transit time,,,,1500,,,354,,,,,Hernot et al. (2005),,Y,N
Canis familiaris,N,Mammalia,Carnivora,,Canidae,Canis_lupus,domestic dog,carnivore,3600,,dog food + colored plastic bead markers,protein,6,1,transit time,,,,1440,,,120,,,,,Hernot et al. (2005),,Y,N
Canis familiaris,N,Mammalia,Carnivora,,Canidae,Canis_lupus,domestic dog,carnivore,6500,,dog food + colored plastic bead markers,protein,3,1,transit time,,,,1860,,,126,,,,,Hernot et al. (2005),,Y,N
Canis familiaris,N,Mammalia,Carnivora,,Canidae,Canis_lupus,domestic dog,carnivore,13800,,dog food + colored plastic bead markers,protein,1,1,transit time,,,,1620,,,,,,,,Hernot et al. (2005),,Y,N
Canis familiaris,N,Mammalia,Carnivora,,Canidae,Canis_lupus,domestic dog,carnivore,11200,,dog food + colored plastic bead markers,protein,4,1,transit time,,,,1920,,,402,,,,,Hernot et al. (2005),,Y,N
Canis familiaris,N,Mammalia,Carnivora,,Canidae,Canis_lupus,domestic dog,carnivore,12800,,dog food + colored plastic bead markers,protein,6,1,transit time,,,,1980,,,396,,,,,Hernot et al. (2005),,Y,N
Canis familiaris,N,Mammalia,Carnivora,,Canidae,Canis_lupus,domestic dog,carnivore,28900,,dog food + colored plastic bead markers,protein,5,1,transit time,,,,2100,,,408,,,,,Hernot et al. (2005),,Y,N
Canis familiaris,N,Mammalia,Carnivora,,Canidae,Canis_lupus,domestic dog,carnivore,23700,,dog food + colored plastic bead markers,protein,5,1,transit time,,,,3300,,,186,,,,,Hernot et al. (2005),,Y,N
Canis familiaris,N,Mammalia,Carnivora,,Canidae,Canis_lupus,domestic dog,carnivore,26900,,dog food + colored plastic bead markers,protein,6,1,transit time,,,,2400,,,360,,,,,Hernot et al. (2005),,Y,N
Canis familiaris,N,Mammalia,Carnivora,,Canidae,Canis_lupus,domestic dog,carnivore,44200,,dog food + colored plastic bead markers,protein,6,1,transit time,,,,2700,,,282,,,,,Hernot et al. (2005),,Y,N
Canis familiaris,N,Mammalia,Carnivora,,Canidae,Canis_lupus,domestic dog,carnivore,58600,,dog food + colored plastic bead markers,protein,2,1,transit time,,,,2700,,,,,,,,Hernot et al. (2005),,Y,N
Canis familiaris,N,Mammalia,Carnivora,,Canidae,Canis_lupus,domestic dog,carnivore,53600,,dog food + colored plastic bead markers,protein,1,1,transit time,,,,2580,,,156,,,,,Hernot et al. (2005),,Y,N
Canis familiaris,N,Mammalia,Carnivora,,Canidae,Canis_lupus,domestic dog,carnivore,23400,,dog food + colored plastic bead markers,protein,7,1,transit time,,,,2220,,,624,,,,,Hernot et al. (2005),,Y,N
Capra hircus,N,Mammalia,Artiodactyla,188,Bovidae,Capra_hircus,domestic goat,folivore,15300,reported mean,corn-soy-vitamin mixture,fiber/foliage,18,1,mrt,,,,2949,,,,,2949,,,Leite et al. 2015,took average of mrt for all sexes for the digestible/solid markers for the groups without feeding restrictions,,Yes
Capra hircus,N,Mammalia,Artiodactyla,188,Bovidae,Capra_hircus,domestic goat,folivore,15700,reported mean,corn-soy-vitamin mixture,fiber/foliage,9,1,mrt,,,,3198,,,,,3198,,,Leite et al. 2015b,took average of mrt for sexes in the initial weight group for the digestible/solid markers group,,Yes
Capra hircus,N,Mammalia,Artiodactyla,,Bovidae,Capra_hircus,Domestic Goat,herbivore,4500,Capra hircus (domestic goat) | INFORMATION | Animal Diversity Web,grass hay w/particle marker,fiber/foliage,6,1,retention time,,,,,,,,,3000,312,,"Steuer P, Südekum K-H, Müller DWH, Franz R, Kaandorp J, Clauss M, Hummel J (2011) Is there an influence of body mass on digesta mean retention time in herbivores? A comparative study on ungulates. Comparative Biochemistry and Physiology A 160:355-364",,"gut, time",no
Capra hircus,N,Mammalia,Artiodactyla,,Bovidae,Capra_hircus,Domestic Goat,herbivore,4500,Capra hircus (domestic goat) | INFORMATION | Animal Diversity Web,grass hay w/ fluid marker,fiber/foliage,6,1,retention time,,,,,,,,,1920,198,,"Steuer P, Südekum K-H, Müller DWH, Franz R, Kaandorp J, Clauss M, Hummel J (2011) Is there an influence of body mass on digesta mean retention time in herbivores? A comparative study on ungulates. Comparative Biochemistry and Physiology A 160:355-365",,"gut, time",no
Capra hircus,N,Mammalia,Artiodactyla,,Bovidae,Capra_hircus,goat,herbivore,29000,,timothy hay w/ solid marker,fiber/foliage,3,1,mean retention time,,,,,,,,,41,,,"Udén P, Rounsaville TR, Wiggans GR, Van Soest PJ. The measurement of liquid and solid digesta retention in ruminants, equines and rabbits given timothy (Phleum pratense) hay. British Journal of Nutrition. 1982;48(2):329-339. doi:10.1079/BJN19820121",,"passage, time",N
Capra hircus,N,Mammalia,Artiodactyla,,Bovidae,Capra_hircus,goat,herbivore,29000,,timothy hay w/ liquid marker,fiber/foliage,3,1,mean retention time,,,,,,,,,28,,,"Udén P, Rounsaville TR, Wiggans GR, Van Soest PJ. The measurement of liquid and solid digesta retention in ruminants, equines and rabbits given timothy (Phleum pratense) hay. British Journal of Nutrition. 1982;48(2):329-339. doi:10.1079/BJN19820122",,"passage, time",N
Capra hircus,N,Mammalia,Artiodactyla,,Bovidae,Capra_hircus,goat,folivore,26200,,wheaten hay + CoEDTA liquid marker + Cr particle marker,fiber/foliage,4,1,MRT,,,,,,,,,3036,,,Kennedy et al. (1992),,N,N
Capra hircus,N,Mammalia,Artiodactyla,,Bovidae,Capra_hircus,goat,folivore,48000,,grass + LiCo-EDTA liquid marker,fiber/foliage,6,1,MRT,,,,,,,,,1836,312,,Lindberg (1988),,N,N
Capra hircus,N,Mammalia,Artiodactyla,,Bovidae,Capra_hircus,goat,folivore,48000,,grass + Cr particle marker,fiber/foliage,6,1,MRT,,,,,,,,,1728,354,,Lindberg (1988),,N,N
Capra hircus,N,Mammalia,Artiodactyla,,Bovidae,Capra_hircus,domestic goat,folivore,56000,,hay + Co liquid marker,fiber/foliage,6,1,mean retention time,,,,,,,,,2082,222,,Hummel et al. (2008),,N,N
Capra hircus,N,Mammalia,Artiodactyla,,Bovidae,Capra_hircus,domestic goat,folivore,56000,,hay + Cr particle marker,fiber/foliage,6,1,mean retention time,,,,,,,,,2994,222,,Hummel et al. (2008),,N,N
Capra hircus,N,Mammalia,Artiodactyla,,Bovidae,Capra_hircus,domestic goat,folivore,56000,,hay + Ce particle marker,fiber/foliage,6,1,mean retention time,,,,,,,,,3156,252,,Hummel et al. (2008),,N,N
Capra hircus,N,Mammalia,Artiodactyla,,Bovidae,Capra_hircus,domestic goat,folivore,56000,,hay + La particle marker,fiber/foliage,6,1,mean retention time,,,,,,,,,3144,312,,Hummel et al. (2008),,N,N
Capra nubiana,N,Mammalia,Artiodactyla,,Bovidae,Capra_nubiana,Nunian ibex,folivore,23000,,"grass hay, alfalfa hay + Cr particle marker",fiber/foliage,4,1,transit time; MRT,,,,804,,,,36.6,2052,,281.4,Gross et al. (1996),averages for non-lactating female ibex group,Y,N
Capra nubiana,N,Mammalia,Artiodactyla,,Bovidae,Capra_nubiana,Nunian ibex,folivore,23000,,"grass hay, alfalfa hay + Co-EDTA marker",fiber/foliage,4,1,transit time; MRT,,,,546,,,,84,1206,,108,Gross et al. (1996),averages for non-lactating female ibex group,Y,N
Capra nubiana,N,Mammalia,Artiodactyla,,Bovidae,Capra_nubiana,Nunian ibex,folivore,60200,,"grass hay, alfalfa hay + Cr particle marker",fiber/foliage,4,1,transit time; MRT,,,,666,,,,33,3390,,456,Gross et al. (1996),averages for the male ibex group,Y,N
Capra nubiana,N,Mammalia,Artiodactyla,,Bovidae,Capra_nubiana,Nunian ibex,folivore,60200,,"grass hay, alfalfa hay + Co-EDTA marker",fiber/foliage,4,1,transit time; MRT,,,,540,,,,51.6,1686,,102.6,Gross et al. (1996),averages for the male ibex group,Y,N
Capreolus capreolus,N,Mammalia,Artiodactyla,,Cervidae,Capreolus_capreolus,roe deer,folivore,20000,,"lucerene, grass, oats, carrots, apples, hay, pine + CoEDTA liquid marker",fiber/foliage,2,1,mean retention time,,,,,,,,,18400,102,,Behrend et al. (2004),,Y,N
Capreolus capreolus,N,Mammalia,Artiodactyla,,Cervidae,Capreolus_capreolus,roe deer,folivore,20000,,"lucerene, grass, oats, carrots, apples, hay, pine + Cr mordanted fiber particle marker",fiber/foliage,2,1,mean retention time,,,,,,,,,22400,114,,Behrend et al. (2004),,Y,N
Capreolus capreolus,N,Mammalia,Artiodactyla,,Cervidae,Capreolus_capreolus,roe deer,folivore,24850,,"blueberry stems, oats + Ce particle marker",fiber/foliage,3,8,mean retention time,,,,,,,,,2011.5,,,Holand (1994),,N,N
Capreolus capreolus,N,Mammalia,Artiodactyla,,Cervidae,Capreolus_capreolus,roe deer,folivore,24850,,"blueberry stems, oats + Cr liquid marker",fiber/foliage,3,8,mean retention time,,,,,,,,,1671,,,Holand (1994),,N,N
Capreolus capreolus,N,Mammalia,Artiodactyla,,Cervidae,Capreolus_capreolus,roe deer,folivore,24600,,"forage, blueberry stems + Ce particle marker",fiber/foliage,3,8,mean retention time,,,,,,,,,1230,,,Holand (1994),,N,N
Capreolus capreolus,N,Mammalia,Artiodactyla,,Cervidae,Capreolus_capreolus,roe deer,folivore,24600,,"forage, blueberry stems + Cr particle marker",fiber/foliage,3,8,mean retention time,,,,,,,,,1201.5,,,Holand (1994),,N,N
Caracal caracal,N,Mammalia,Carnivora,,Felidae,Caracal_caracal,Caracal,carnivore,8650,,"beef, beet pulp + acetate bead marker",protein,2,1,transit time,,,,1440,,,,,,,,Edwards et al. (2001),,Y,N
Caracal caracal,N,Mammalia,Carnivora,,Felidae,Caracal_caracal,Caracal,carnivore,8650,,"beef, cellulose/fructooligosaccharide blend + acetate bead marker",protein,2,1,transit time,,,,1440,,,,,,,,Edwards et al. (2001),,Y,N
Caracal caracal,N,Mammalia,Carnivora,,Felidae,Caracal_caracal,Caracal,carnivore,8650,,"beef, wood cellulose + acetate bead marker",protein,2,1,transit time,,,,1440,,,,,,,,Edwards et al. (2001),,Y,N
Caracara plancus,Y,Aves,Falconiformes,637.9,Falconidae,Caracara_plancus,Southern crested caracara,carnivore,1348,"CRC Handbook of Avian Body Masses, 2nd Edition by John B. Dunning Jr. (Editor). CRC Press (2008), ISBN 978-1-4200-6444-5.",100% weight-by-volume suspension; fed three chicks daily?,meat,6,,first excretia of marker,520,,,670,,730,80.5,,,,,Santos et al. 2011,reported in tabela 2; self calculated SD,,Yes
Caracara plancus,Y,Aves,Falconiformes,,Falconidae,Caracara_plancus,caracara,carnivore,1250,Crested caracara - Wikipedia,lab mice,meat,1,1,meal to pellet interval,,,,19.58,,,0.32,,,,,"Duke GE, Evanson OA, Jegers A (1976) Meal to pellet intervals in 14 species of captive raptors. Comparative Biochemistry and Physiology A 53:1-12","some birds were fed at two different times, this did not seem to have any significant impact on the excretion time (so with the exception of the caracara which was only fed at 1100) all numbers reflected are from the 0900 feeding",,n
Caretta caretta,N,Reptilia,Testudines,637.9,Cheloniidae,Caretta_caretta,Loggerhead sea turtle,omnivore,10187.5,average of reported weights,60% weight-by-volume suspension,unknown,8,1,first excretia of marker,11520,16200,22320,25560,28080,57600,14900.45,,,,,Di Bello et al 2006,calculated all values from table; Turtles in this study had GI disease which could exacerbate these durations,,Yes
Caretta caretta,N,Reptilia,Testudines,637.9,Cheloniidae,Caretta_caretta,Loggerhead sea turtle,omnivore,13300,average of reported range for 22 turtles: 4.4-22.2 kg,foam marker inside fish,protein,22,1,first marker in feces (T1),7200,,,13032,,23040,4392,,,,,Valente et al 2008,,,Yes
Caretta caretta,N,Reptilia,Testudines,637.9,Cheloniidae,Caretta_caretta,Loggerhead sea turtle,omnivore,14380,average of 8 total in summer experiment: 6 subadults and 2 juv,BIPS capsules in fish,meat,8,1,first marker in feces (T1),,,,19080,,33120,,,,,,Valente et al 2008,,,Yes
Carollia perspicillata,Y,Mammalia,Chiroptera,188,Phyllostomidae,Carollia_perspicillata,Seba's short-tailed bat,frugivore/nectarivore,17.3,mean as reported in paper,"dye introduced through intubation, then track by lethal sampling at periodic intervals",unknown,5,1,"5 bats killed at 5 diff time points; first site of dye in colon; reported value at death in which ""some dye was still visible"" in all guts",,,,120,,,,,,,,Klite 1965,bats killed at 120 still had some dye in colon,,Yes
